Category,Name,Ownership: Government/Private,Street Address,City,State,Zip,County,Phone Number,Website,Hours- Sunday,Hours - Monday,Hours - Tuesday,Hours - Wednesday,Hours - Thursday,Hours - Friday,Hours - Saturday,Residential Household Garbage,Residential Electronic Waste,Residential Appliances/ Furniture,Residential Brush,Residential Construction,Demolition Waste,Recycling - Residential Metal,Recycling - Residential Cans,Recycling - Residential Aluminum,Recycling - Residential Plastics (#1 & #2 only),Recycling - Residential Glass,Recycling - Residential Paper,Recycling - Residential Cardboard,Recycling - Residential Used Motor Oil,Recycling - Residential Used Cooking Oil,Special Waste - Residential automotive batteries,Special Waste - Residential latex-based paint,Special Waste - Residential antifreeze,Special Waste - Residential Automotive Tires,Holiday Hours - New Year's Day,Holiday Hours - MLK Day,Holiday Hours - President's Day,Holiday Hours - Easter,Holiday Hours - Memorial Day,Holiday Hours - Independence Day,Holiday Hours - Veteran's Day,Holiday Hours - Thanksgiving Day,Holiday Hours - Christmas Eve,Holiday Hours - Christmas Day,Goodwill Drop-Off,Daily Limit,Notes,Lat,Long
C&D Landfill,City Of Prattville C&D Landfill,Government,802 County Rd 4,Prattville,AL,36067,Autauga,(251) 937-0382,http://www.prattvilleal.gov/departments/sanitation.html,No,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-12:00PM,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,30.5074883,-87.90117123
Transfer Station,Bay Minette Transfer Station,Government,4291 Nicholsville Road,Bay Minette,AL,36507,Baldwin,(334) 567-1328,,No,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,7:30AM-3:00PM,8:00AM-12:00PM,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
C&D Landfill,Eastfork Landfill,Government,Cc Road,Elberta,AL,36530,Baldwin,(334) 566-6460,,No,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,7:00AM-4:00PM,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,31.88457685,-85.30852108
C&D Landfill,Fairhope Inert Landfill,Government,Section Street,Fairhope,AL,36532,Baldwin,(256) 729-0022,http://www.cofairhope.com/home/showdocument?id=686,,,,,,,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,30.61706116,-87.78166206
Transfer Station,Fairhope Transfer Station,Government,555 South Section Street,Fairhope,AL,36532,Baldwin,,,,,,,,,,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,0,0
C&D Landfill,Gulf Shores C&D Landfill,Private,100 Landward Drive,Gulf Shores,AL,36542,Baldwin,(205) 298-8692,http://www.solidwaste.com/doc/emerald-waste-services-acquires-sunbelt-envir-0001,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,30.48819439,-87.51961818
C&D Landfill,Macbride Landfill,Government,14200 County Road 64,Loxley,AL,36551,Baldwin,(251) 972-8508,"http://www.co.baldwin.al.us/PageView.asp?edit_id=608, http://services.co.baldwin.al.us/knowledge/knowledge.jsp?id=101000000960",,,,,,,,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,33.94664267,-86.70715116
Municipal Landfill,Magnolia Sanitary Landfill,Government,15140 County Road 49,Summerdale,AL,36580,Baldwin,(256) 549-4745,"http://www.co.baldwin.al.us/Pageview.asp?edit_id=607, http://services.co.baldwin.al.us/knowledge/knowledge.jsp?id=101000000964",No,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,7:00AM-3:00PM,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,,,,,,,,,,,,33.5812141,-86.8143136
C&D Landfill,Barbour County C&D Landfill,Government,80 Gilchrist Road,Clayton,AL,36016,Barbour,(334) 588-2923,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,33.81799009,-86.69270047
Transfer Station,Henry County-Eufaula Transfer Station,Government,Rte 431,Eufaula,AL,36027,Barbour,(334) 774-6212,,No,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,6:00AM-4:00PM,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,0,0
